listing_id,neighbourhood,dist_zone,price_eur,occ_days,rev_est,compliance_status,risk_level,risk_reason,regularisable,investor_recommendation,top_citation,top_doc_title,similarity_score
807239,ΑΝΩ ΠΑΤΗΣΙΑ,far_5km_plus,43.0,66.0,2838.0,UNLICENSED,LOW,Peripheral zone. Low enforcement density. Standard due diligence.,True,LOW PRIORITY. Peripheral unlicensed listing. Standard compliance due diligence recommended before acquisition.,ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.6142
1004858,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,near_1_3km,135.0,66.0,8910.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
1238291,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,centre_0_1km,123.0,12.0,1476.0,UNLICENSED,HIGH,Cannot regularise (AMA freeze Dec 2024). Enforcement removal imminent. Do not acquire — monitor for demand redistribution to compliant neighbours.,False,"DO NOT ACQUIRE. Unlicensed in AMA freeze zone — no path to regularisation. Acquisition risk: EUR 5,000-50,000 fine + forced removal. OPPORTUNITY: acquire AMA-registered neighbours who will benefit from this listing's eventual enforcement removal.",ARIA Investment Strategy · Phase 2 + Phase 5 synthesis,Investor strategy — compliance as competitive moat,0.5914
1286210,ΑΜΠΕΛΟΚΗΠΟΙ,near_1_3km,41.0,66.0,2706.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
1315027,ΙΛΙΣΙΑ,near_1_3km,69.0,66.0,4554.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
1470809,ΑΚΡΟΠΟΛΗ,near_1_3km,91.0,66.0,6006.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
1473284,ΑΚΡΟΠΟΛΗ,near_1_3km,36.0,66.0,2376.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
2948623,ΒΟΤΑΝΙΚΟΣ,near_1_3km,81.0,66.0,5346.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
3461034,ΑΜΠΕΛΟΚΗΠΟΙ,near_1_3km,71.0,66.0,4686.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
4253959,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,near_1_3km,57.0,66.0,3762.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
6240267,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,near_1_3km,90.0,66.0,5940.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
6840662,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,near_1_3km,80.0,16.0,1280.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
7209432,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,near_1_3km,90.0,66.0,5940.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
7417715,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,near_1_3km,35.0,66.0,2310.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
7778776,ΓΟΥΔΙ,near_1_3km,60.0,66.0,3960.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
7806479,ΚΟΛΩΝΑΚΙ,centre_0_1km,128.0,66.0,8448.0,UNLICENSED,HIGH,Cannot regularise (AMA freeze Dec 2024). Enforcement removal imminent. Do not acquire — monitor for demand redistribution to compliant neighbours.,False,"DO NOT ACQUIRE. Unlicensed in AMA freeze zone — no path to regularisation. Acquisition risk: EUR 5,000-50,000 fine + forced removal. OPPORTUNITY: acquire AMA-registered neighbours who will benefit from this listing's eventual enforcement removal.",ARIA Investment Strategy · Phase 2 + Phase 5 synthesis,Investor strategy — compliance as competitive moat,0.5914
7806633,ΚΟΛΩΝΑΚΙ,centre_0_1km,89.0,66.0,5874.0,UNLICENSED,HIGH,Cannot regularise (AMA freeze Dec 2024). Enforcement removal imminent. Do not acquire — monitor for demand redistribution to compliant neighbours.,False,"DO NOT ACQUIRE. Unlicensed in AMA freeze zone — no path to regularisation. Acquisition risk: EUR 5,000-50,000 fine + forced removal. OPPORTUNITY: acquire AMA-registered neighbours who will benefit from this listing's eventual enforcement removal.",ARIA Investment Strategy · Phase 2 + Phase 5 synthesis,Investor strategy — compliance as competitive moat,0.5914
7834234,ΛΥΚΑΒΗΤΤΟΣ,near_1_3km,149.0,66.0,9834.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
8835412,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,near_1_3km,49.0,66.0,3234.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
9486927,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,near_1_3km,80.0,66.0,5280.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
9768981,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,centre_0_1km,34.0,66.0,2244.0,UNLICENSED,HIGH,Cannot regularise (AMA freeze Dec 2024). Enforcement removal imminent. Do not acquire — monitor for demand redistribution to compliant neighbours.,False,"DO NOT ACQUIRE. Unlicensed in AMA freeze zone — no path to regularisation. Acquisition risk: EUR 5,000-50,000 fine + forced removal. OPPORTUNITY: acquire AMA-registered neighbours who will benefit from this listing's eventual enforcement removal.",ARIA Investment Strategy · Phase 2 + Phase 5 synthesis,Investor strategy — compliance as competitive moat,0.5914
9916154,ΛΥΚΑΒΗΤΤΟΣ,centre_0_1km,457.0,66.0,30162.0,UNLICENSED,HIGH,Cannot regularise (AMA freeze Dec 2024). Enforcement removal imminent. Do not acquire — monitor for demand redistribution to compliant neighbours.,False,"DO NOT ACQUIRE. Unlicensed in AMA freeze zone — no path to regularisation. Acquisition risk: EUR 5,000-50,000 fine + forced removal. OPPORTUNITY: acquire AMA-registered neighbours who will benefit from this listing's eventual enforcement removal.",ARIA Investment Strategy · Phase 2 + Phase 5 synthesis,Investor strategy — compliance as competitive moat,0.5914
11349671,ΑΜΠΕΛΟΚΗΠΟΙ,near_1_3km,55.0,66.0,3630.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
12023315,ΚΟΛΟΚΥΝΘΟΥ,mid_3_5km,59.0,66.0,3894.0,UNLICENSED,LOW,Lower enforcement priority. Standard due diligence recommended.,True,LOW PRIORITY. Peripheral unlicensed listing. Standard compliance due diligence recommended before acquisition.,Law 4276/2014 amended · Greek Tax Authority (AADE),AMA violation penalties,0.6615
12193432,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,near_1_3km,45.0,66.0,2970.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
12689332,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,near_1_3km,33.0,30.0,990.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
13064141,ΣΤΑΔΙΟ,near_1_3km,78.0,66.0,5148.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
13252360,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,near_1_3km,39.0,66.0,2574.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
13455532,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,near_1_3km,90.0,66.0,5940.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
13766522,ΚΕΡΑΜΕΙΚΟΣ,near_1_3km,53.0,66.0,3498.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
13833315,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,near_1_3km,45.0,66.0,2970.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
14053253,ΝΕΟΣ ΚΟΣΜΟΣ,near_1_3km,201.0,66.0,13266.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
14097090,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,near_1_3km,64.0,66.0,4224.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
14194511,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,near_1_3km,75.0,66.0,4950.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
14226639,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,centre_0_1km,79.0,66.0,5214.0,UNLICENSED,HIGH,Cannot regularise (AMA freeze Dec 2024). Enforcement removal imminent. Do not acquire — monitor for demand redistribution to compliant neighbours.,False,"DO NOT ACQUIRE. Unlicensed in AMA freeze zone — no path to regularisation. Acquisition risk: EUR 5,000-50,000 fine + forced removal. OPPORTUNITY: acquire AMA-registered neighbours who will benefit from this listing's eventual enforcement removal.",ARIA Investment Strategy · Phase 2 + Phase 5 synthesis,Investor strategy — compliance as competitive moat,0.5914
14533431,ΝΕΟΣ ΚΟΣΜΟΣ,near_1_3km,300.0,66.0,19800.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
14664791,ΝΕΟΣ ΚΟΣΜΟΣ,near_1_3km,400.0,66.0,26400.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
15510318,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,near_1_3km,36.0,66.0,2376.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
16420622,ΠΑΓΚΡΑΤΙ,near_1_3km,34.0,66.0,2244.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
17418913,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,near_1_3km,320.0,66.0,21120.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
17511573,ΠΑΓΚΡΑΤΙ,near_1_3km,46.0,66.0,3036.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
18430465,1Ο ΝΕΚΡΟΤΑΦΕΙΟ,near_1_3km,24.0,66.0,1584.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
19156916,ΓΟΥΒΑ,near_1_3km,98.0,66.0,6468.0,UNLICENSED,MEDIUM,Regularisation possible (outside AMA freeze zone). Process takes 3-6 months. Verify building permit status before acquisition.,True,"MONITOR. Regularisation possible — verify building permit status. If permit is valid, AMA registration takes 3-6 months. Acquisition at discount may be viable post-regularisation.",ARIA Phase 1 EDA · IAB Athens Sept 2025,AMA compliance rate — Athens market context,0.732
19271698,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,mid_3_5km,75.0,66.0,4950.0,UNLICENSED,LOW,Lower enforcement priority. Standard due diligence recommended.,True,LOW PRIORITY. Peripheral unlicensed listing. Standard compliance due diligence recommended before acquisition.,Law 4276/2014 amended · Greek Tax Authority (AADE),AMA violation penalties,0.6615
